censure	An expression of strong disapproval or harsh criticism.	Common
chagrin	A keen feeling of mental unease, as of annoyance or embarrassment, caused by failure, disappointment, or a disconcerting event:  To her chagrin, the party ended just as she arrived. 	Very High
churlish	Of, like, or befitting a churl; boorish or vulgar.	Medium
circumspect	Heedful of circumstances and potential consequences; prudent.	Medium
clemency	A disposition to show mercy, especially toward an offender or enemy. See Synonyms at mercy.	High
comeuppance	A punishment or retribution that one deserves; one's just deserts: "It's a chance to strike back at the critical brotherhood and give each his comeuppance for evaluative sins of the past”  ( Judith Crist). 	Rare
compunction	A strong uneasiness caused by a sense of guilt. See Synonyms at penitence.	High
connote	To suggest or imply in addition to literal meaning: "The term 'liberal arts' connotes a certain elevation above utilitarian concerns”  ( George F. Will).  See Usage Note at denote.	Low
coquette	A woman who makes teasing sexual or romantic overtures; a flirt.	Medium
cupidity	Excessive desire, especially for wealth; covetousness or avarice.	Medium
curio	A curious or unusual object of art or piece of bric-a-brac.	Low
dearth	A scarce supply; a lack: "the dearth of uncensored, firsthand information about the war”  ( Richard Zoglin). 	Medium
denote	To mark; indicate:  a frown that denoted increasing impatience. 	Very High
deplore	To feel or express strong disapproval of; condemn: "Somehow we had to master events, not simply deplore them”  ( Henry A. Kissinger). 	High
derisively	in a mocking and demeaning manner.	Medium
descry	To catch sight of (something difficult to discern). See Synonyms at see1.	Medium
diametric	directly opposite	Rare
didactic	Intended to instruct.	Medium
diffident	Lacking or marked by a lack of self-confidence; shy and timid. See Synonyms at shy1.	Medium
dilatory	Intended to delay.	Medium
discursive	Covering a wide field of subjects; rambling.	Medium
disposition	One's usual mood; temperament:  a sweet disposition. 	Common
dogged	Stubbornly persevering; tenacious. See Synonyms at obstinate.	Very High
dogmatize	To express oneself dogmatically in writing or speech.	Rare
dossier	A collection of papers giving detailed information about a particular person or subject.	Medium
dote	To show excessive fondness or love:  parents who dote on their only child. 	Medium
drivel	To slobber; drool.	Low
duplicity	Deliberate deceptiveness in behavior or speech.	High
edict	A decree or proclamation issued by an authority and having the force of law.	Very High
effervescent	Giving off bubbles; fizzy.	Low
efficacy	Power or capacity to produce a desired effect; effectiveness.	Very High
effusive	Unrestrained or excessive in emotional expression; gushy:  an effusive manner. 	Medium
elocution	The art of public speaking in which gesture, vocal production, and delivery are emphasized.	Medium
emanation	The act or an instance of emanating.	Medium
ennui	Listlessness and dissatisfaction resulting from lack of interest; boredom: "The servants relieved their ennui with gambling and gossip about their masters”  ( John Barth). 	High
ensconce	To settle (oneself) securely or comfortably:  She ensconced herself in an armchair. 	Rare
ephemeral	Lasting for a markedly brief time: "There remain some truths too ephemeral to be captured in the cold pages of a court transcript”  ( Irving R. Kaufman). 	Medium
epicure	A person with refined taste, especially in food and wine.	Medium
epithet	A term used to characterize a person or thing, such as rosy-fingered in rosy-fingered dawn or the Great in Catherine the Great.	Very High
errant	Roving, especially in search of adventure:  knights errant. 	Medium
evince	To show or demonstrate clearly; manifest:  evince distaste by grimacing. 	High
excoriate	To tear or wear off the skin of; abrade. See Synonyms at chafe.	Rare
execrable	Deserving of execration; hateful.	Medium
execrate	To declare to be hateful or abhorrent; denounce.	Low
expostulate	To reason earnestly with someone in an effort to dissuade or correct; remonstrate. See Synonyms at object.	Medium
extemporize	To do or perform (something) without prior preparation or practice:  extemporized an acceptance speech. 	Rare
exult	To rejoice greatly; be jubilant or triumphant.	Medium
flagrant	Conspicuously bad, offensive, or reprehensible:  a flagrant miscarriage of justice; flagrant cases of wrongdoing at the highest levels of government.  See Usage Note at blatant.	High
foist	To pass off as genuine, valuable, or worthy: "I can usually tell whether a poet . . . is foisting off on us what he'd like to think is pure invention”  ( J.D. Salinger). 	Low
gambol	To leap about playfully; frolic.	Low
garish	Marked by strident color or excessive ornamentation; gaudy.	Medium
geriatric	Of or relating to geriatrics.	Rare
guile	Treacherous cunning; skillful deceit.	High
harangue	A long pompous speech, especially one delivered before a gathering.	High
homunculus	A diminutive human.	Rare
hucksterism	The condition of being a huckster	Rare
ignoble	Not noble in quality, character, or purpose; base or mean. See Synonyms at mean2.	High
ignominious	Marked by shame or disgrace: "It was an ignominious end ... as a desperate mutiny by a handful of soldiers blossomed into full-scale revolt”  ( Angus Deming). 	High
ignominy	Great personal dishonor or humiliation.	High
impertinent	Exceeding the limits of propriety or good manners; improperly forward or bold:  impertinent of a child to lecture a grownup. 	Very High
impetuosity	The quality or condition of being impetuous.	High
impetuous	Characterized by sudden and forceful energy or emotion; impulsive and passionate.	Very High
impudence	The quality of being offensively bold.	Very High
impugn	To attack as false or questionable; challenge in argument:  impugn a political opponent's record. 	Low
impunity	Exemption from punishment, penalty, or harm.	Very High
inauspicious	Not favorable; not auspicious.	Medium
incessant	Continuing without interruption. See Synonyms at continual.	Common
incisive	Penetrating, clear, and sharp, as in operation or expression:  an incisive mind; incisive comments. 	Medium
incorrigible	Incapable of being corrected or reformed:  an incorrigible criminal. 	High
incredulity	The state or quality of being incredulous; disbelief.	High
incredulous	Skeptical; disbelieving:  incredulous of stories about flying saucers. 	Very High
indecorous	Lacking propriety or good taste. See Synonyms at improper.	Medium
indefatigable	Incapable or seemingly incapable of being fatigued; tireless. See Synonyms at tireless.	Very High
indelible	Impossible to remove, erase, or wash away; permanent:  indelible ink. 	High
indemnify	To protect against damage, loss, or injury; insure.	Medium
indignation	Anger aroused by something unjust, mean, or unworthy. See Synonyms at anger.	Common
inextricable	So intricate or entangled as to make escape impossible:  an inextricable maze; an inextricable web of deceit. 	Medium
infirmity	A bodily ailment or weakness, especially one brought on by old age.	Very High
inimical	Injurious or harmful in effect; adverse:  habits inimical to good health. 	High
iniquity	Gross immorality or injustice; wickedness.	Very High
inscrutable	Difficult to fathom or understand; impenetrable. See Synonyms at mysterious.	High
insipid	Lacking flavor or zest; not tasty.	High
insolent	Presumptuous and insulting in manner or speech; arrogant.	Common
intrepid	Resolutely courageous; fearless. See Synonyms at brave.	High
inveterate	Firmly and long established; deep-rooted:  inveterate preferences. 	High
irreverent	Lacking or exhibiting a lack of reverence; disrespectful.	Medium
kismet	Fate; fortune.	Rare
lackluster	Lacking brightness, luster, or vitality; dull. See Synonyms at dull.	Low
laconic	Using or marked by the use of few words; terse or concise. See Synonyms at silent.	Medium
languish	To be or become weak or feeble; lose strength or vigor.	Medium
languorous	lacking energy, spirit, liveliness or vitality; languid, lackadaisical	Low
lascivious	Given to or expressing lust; lecherous.	Medium
laudable	Deserving commendation; praiseworthy.	High
laxity	The state or quality of being lax.	Medium
levity	Lightness of manner or speech, especially when inappropriate; frivolity.	Very High
liturgy	A prescribed form or set of forms for public religious worship.	Medium
loquacious	Very talkative; garrulous.	Medium
machination	The act of plotting.	Low
maraud	To rove and raid in search of plunder.	Rare
metempsychosis	Reincarnation.	Low
mirth	Gladness and gaiety, especially when expressed by laughter.	Common
moil	To toil; slave.	Low
monomaniac	A person who is obsessed with a single thing, to the exclusion of other concerns.	Low
mordant	Bitingly sarcastic:  mordant satire. 	Low
nascent	Coming into existence; emerging: "the moral shock of our nascent imperialism”  ( Richard Hofstadter). 	Medium
nominal	Of, resembling, relating to, or consisting of a name or names.	Very High
nonplussed	Bewildered; unsure how to respond or act.	Medium
obloquy	Abusively detractive language or utterance; calumny: "I have had enough obloquy for one lifetime”  ( Anthony Eden). 	Medium
obsequious	Full of or exhibiting servile compliance; fawning.	Medium
obstinate	Stubbornly adhering to an attitude, opinion, or course of action; obdurate.	Common
odious	Arousing or meriting strong dislike, aversion, or intense displeasure. See Synonyms at hateful.	Common
ornery	Mean-spirited, disagreeable, and contrary in disposition; cantankerous.	Low
ossified	Of ideas or attitudes, inflexible, old-fashioned.	Low
ostensibly	seemingly, apparently, on the surface	High
pallid	Having an abnormally pale or wan complexion:  the pallid face of the invalid. 	Very High
panacea	A remedy for all diseases, evils, or difficulties; a cure-all.	Medium
panache	Dash; verve.	Rare
paragon	A model of excellence or perfection of a kind; a peerless example:  a paragon of virtue. 	Medium
penchant	A definite liking; a strong inclination. See Synonyms at predilection.	Medium
perfidious	Of, relating to, or marked by perfidy; treacherous. See Synonyms at faithless.	High
pernicious	Tending to cause death or serious injury; deadly:  a pernicious virus. 	Very High
perspicacity	Acuteness of perception, discernment, or understanding.	Medium
perversity	The quality or state of being perverse.	Medium
petrichor	The distinctive scent which accompanies the first rain after a long warm dry spell.	Rare
petulant	Unreasonably irritable or ill-tempered; peevish.	Medium
phalanx	A compact or close-knit body of people: "formed a solid phalanx in defense of the Constitution and Protestant religion”  ( G.M. Trevelyan). 	Medium
philter	A love potion.	Rare
pithy	Precisely meaningful; forceful and brief:  a pithy comment. 	Medium
pleonasm	The use of more words than are required to express an idea; redundancy.	Rare
poignant	Profoundly moving; touching:  a poignant memory.  See Synonyms at moving.	Very High
ponderous	Having great weight.	Very High
pontificate	The office or term of office of a pontiff.	Low
portend	To serve as an omen or a warning of; presage:  black clouds that portend a storm. 	Low
portentous	Of the nature of or constituting a portent; foreboding: "The present aspect of society is portentous of great change”  ( Edward Bellamy). 	High
posthumous	Occurring or continuing after one's death:  a posthumous award. 	Medium
precipitate	To throw from or as if from a great height; hurl downward: "The finest bridge in all Peru broke and precipitated five travelers into the gulf below”  ( Thornton Wilder). 	Very High
precocious	Manifesting or characterized by unusually early development or maturity, especially in mental aptitude.	Medium
predilection	A partiality or disposition in favor of something; a preference.	High
privations	Plural form of privation.	Very High
probity	Complete and confirmed integrity; uprightness: "He was a gentlemanly Georgian, a person of early American probity”  ( Mary McGrory). 	Medium
proclivities	Plural form of proclivity.	Low
prodigal	Rashly or wastefully extravagant:  prodigal expenditures on unneeded weaponry; a prodigal life. 	High
prodigious	Impressively great in size, force, or extent; enormous:  a prodigious storm. 	Common
profligacy	Careless wastefulness.	Medium
prolix	Tediously prolonged; wordy:  editing a prolix manuscript. 	Medium
promulgate	To make known (a decree, for example) by public declaration; announce officially. See Synonyms at announce.	Medium
propensity	An innate inclination; a tendency. See Synonyms at predilection.	Very High
pulpit	An elevated platform, lectern, or stand used in preaching or conducting a religious service.	Common
quintessential	Of, relating to, or having the nature of a quintessence; being the most typical: "Liszt was the quintessential romantic”  ( Musical Heritage Review). 	Low
quixotic	Caught up in the romance of noble deeds and the pursuit of unreachable goals; idealistic without regard to practicality.	Low
quotidian	Everyday; commonplace: "There's nothing quite like a real . . . train conductor to add color to a quotidian commute”  ( Anita Diamant). 	Low
ramify	To have complicating consequences or outgrowths:  The problem merely ramified after the unsuccessful meeting. 	Rare
rapacious	Taking by force; plundering.	Medium
rebuff	A blunt or abrupt repulse or refusal, as to an offer.	Medium
recondite	Not easily understood; abstruse. See Synonyms at ambiguous.	Medium
refulgent	Shining radiantly; resplendent.	Medium
remonstrate	To say or plead in protest, objection, or reproof.	Medium
reprisal	Retaliation for an injury with the intent of inflicting at least as much injury in return.	Medium
resolute	Firm or determined; unwavering.	Common
resplendent	Splendid or dazzling in appearance; brilliant.	High
risible	Relating to laughter or used in eliciting laughter.	Low
rote	A memorizing process using routine or repetition, often without full attention or comprehension:  learn by rote. 	Medium
rove	To wander about at random, especially over a wide area; roam.	Medium
ruminate	To turn a matter over and over in the mind.	Low
saccharine	Of, relating to, or characteristic of sugar or saccharin; sweet.	Medium
sagacious	Having or showing keen discernment, sound judgment, and farsightedness. See Synonyms at shrewd.	Very High
sardonically	In a sardonic manner; cynically; mockingly; scornfully; sarcastically.	Medium
scintillating	Present participle of scintillate.	Medium
soporific	Inducing or tending to induce sleep.	Low
sordid	Filthy or dirty; foul.	Very High
specious	Having the ring of truth or plausibility but actually fallacious:  a specious argument. 	High
stultify	To render useless or ineffectual; cripple.	Low
subterfuge	A deceptive stratagem or device: "the paltry subterfuge of an anonymous signature”  ( Robert Smith Surtees). 	Medium
sunder	To break or wrench apart; sever. See Synonyms at separate.	Low
superlative	Of the highest order, quality, or degree; surpassing or superior to all others.	Medium
supple	Readily bent; pliant.	High
temerity	Foolhardy disregard of danger; recklessness.	High
tesseract	The four-dimensional equivalent of a cube.	Low
tonsorial	Of or relating to barbering or a barber.	Rare
torpid	Deprived of the power of motion or feeling; benumbed.	Medium
transmundane	Existing or extending beyond the physical world.	Rare
trenchant	Forceful, effective, and vigorous:  a trenchant argument.  See Synonyms at incisive.	Low
trepidation	A state of alarm or dread; apprehension. See Synonyms at fear.	High
tutelage	The capacity or activity of a guardian; guardianship.	Medium
typify	To serve as a typical example of; embody the essential characteristics of:  a painting that typifies the artist's work. 	Low
ulterior	Lying beyond what is evident, revealed, or avowed, especially being concealed intentionally so as to deceive:  an ulterior motive. 	Medium
untenable	Being such that defense or maintenance is impossible:  an untenable position. 	High
untoward	Not favorable; unpropitious.	High
usury	The practice of lending money and charging the borrower interest, especially at an exorbitant or illegally high rate.	Medium
vatic	Of or characteristic of a prophet; oracular.	Rare
velleity	Volition at its lowest level.	Rare
venal	Open to bribery; mercenary:  a venal police officer. 	Medium
venerable	Commanding respect by virtue of age, dignity, character, or position.	Common
veracity	Adherence to the truth; truthfulness. See Synonyms at truth.	High
vicissitudes	Plural form of vicissitude.	Very High
virago	A woman regarded as noisy, scolding, or domineering.	Low
virulent	Extremely infectious, malignant, or poisonous. Used of a disease or toxin.	Medium
volition	The act or an instance of making a conscious choice or decision.	High
voluminous	Having great volume, fullness, size, or number:  a voluminous trunk; a voluminous cloud. 	High
writhe	To twist, as in pain, struggle, or embarrassment.	Medium
zeal	Enthusiastic devotion to a cause, ideal, or goal and tireless diligence in its furtherance. See Synonyms at passion.	Common
